Postcode,Total
4000,1
4005,1
4011,5
4017,5
4018,3
4019,2
4020,7
4021,1
4030,2
4031,3
4032,4
4034,6
4035,1
4037,2
4051,1
4053,4
4054,1
4055,2
4060,1
4061,2
4066,2
4068,2
4069,6
4070,1
4073,1
4074,2
4075,3
4076,1
4077,1
4078,2
4101,2
4104,2
4105,2
4108,1
4109,7
4110,1
4113,3
4114,2
4115,3
4116,4
4118,2
4120,1
4122,5
4123,1
4125,2
4127,5
4128,2
4131,1
4132,2
4133,1
4151,2
4152,11
4157,3
4159,3
4160,2
4161,4
4163,2
4169,2
4170,1
4171,1
4173,1
4174,1
4178,1
4179,1
4183,1
4184,2
4200,1
4205,1
4207,11
4208,3
4209,5
4210,3
4211,10
4212,5
4213,5
4214,5
4215,11
4216,14
4217,7
4218,7
4220,4
4221,5
4223,1
4224,2
4226,5
4227,2
4228,1
4270,1
4285,4
4300,3
4301,2
4304,1
4305,10
4311,1
4313,1
4342,1
4343,2
4350,13
4352,3
4354,1
4370,2
4380,2
4401,1
4410,1
4413,2
4501,1
4503,8
4504,1
4505,2
4506,1
4507,6
4508,4
4509,4
4510,9
4511,2
4515,1
4516,1
4519,2
4520,2
4551,15
4552,4
4554,1
4556,8
4557,3
4558,3
4559,1
4560,5
4561,1
4564,1
4565,4
4566,3
4568,1
4570,2
4572,1
4573,2
4575,5
4580,1
4610,3
4614,1
4650,5
4655,12
4659,1
4660,4
4670,10
4671,1
4677,1
4680,1
4700,1
4701,4
4703,2
4718,1
4740,2
4799,1
4800,1
4802,2
4810,2
4812,2
4814,4
4815,1
4816,1
4817,5
4818,1
4819,1
4850,2
4868,1
4869,2
4870,13
4871,1
4873,2
4877,1
4878,2
4879,4
4880,2
4883,5
4884,1
4885,2
4887,1