Area code,Location,2016,2021,2026,2031,2036,2041
301,Brisbane East,21.79279,24.69969,27.20126,29.20675,30.62123,31.36751
302,Brisbane North,19.57566,20.57985,21.73724,22.94801,24.07138,24.85656
303,Brisbane South,16.36265,17.44364,18.43997,19.29748,20.01743,20.53601
304,Brisbane West,18.41111,19.5756,20.62892,21.57094,22.3516,22.75863
305,Brisbane Inner City,13.59404,14.92043,16.28847,17.60157,18.65,19.42001
309,Gold Coast,21.33256,22.43977,23.56,24.61813,25.48006,26.02605
310,Ipswich,16.2371,17.87496,19.09221,20.07279,21.06169,21.78036
311,Logan-Beaudesert,16.83428,18.96152,20.63597,22.13891,23.308,24.06783
313,Moreton Bay North,24.46822,27.16691,29.38679,30.89943,31.82149,32.17464
314,Moreton Bay South,15.65259,17.41822,18.84455,20.11125,21.06696,21.54659
316,Suneshine Coast,26.59629,28.01806,29.46394,30.72066,31.72518,32.27632
317,Toowoomba,21.53119,23.49451,24.89063,26.10121,26.95776,27.41145